model_size,checkpoint,topic,split,value,overall_accuracy,metric,total_pairs,file,ckpt_pos
pythia-6_9b,,existential_there_quantifiers,avg,74.25,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_quantifiers,max,97.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_subject,raising,91.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_subject,avg,91.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,existential_there_subject,max,91.3,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,expletive_it_object,raising,81.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,expletive_it_object,avg,81.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,expletive_it_object,max,81.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,inchoative,main,73.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,inchoative,avg,73.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,inchoative,max,73.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,intransitive,main,85.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,intransitive,avg,85.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,intransitive,max,85.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_past_participle,adjectives,96.7,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_past_participle,verbs,92.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_past_participle,avg,94.35,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_past_participle,max,96.7,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_plural_subject_verb_agreement,1,94.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_plural_subject_verb_agreement,2,92.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
